id,internship_role,branch,required_skills,interest,min_cgpa,mode,location
251,AI Intern,Electronics,Python;Machine Learning;Pandas,AI,8.5,Hybrid,Pune
252,Data Analyst Intern,Mechanical,Python;SQL;Excel,Analytics,9.0,Onsite,Mumbai
253,Python Developer Intern,Civil,Python;OOP,Software,6.0,Remote,Bengaluru
254,Web Developer Intern,Electrical,HTML;CSS;JavaScript,Web,6.5,Hybrid,Hyderabad
255,Java Developer Intern,AI & DS,Java;OOP,Software,7.0,Onsite,Chennai
256,Cyber Security Intern,ECE,Linux;Networking,Security,7.5,Remote,Delhi
257,Cloud Intern,Computer,AWS;Linux,Cloud,8.0,Hybrid,Noida
258,Android Developer Intern,IT,Java;Kotlin,Mobile,8.5,Onsite,Ahmedabad
259,UI/UX Intern,Electronics,Figma;Canva,Design,9.0,Remote,Kolkata
260,Business Analyst Intern,Mechanical,Excel;SQL;Power BI,Analytics,6.0,Hybrid,Nagpur
261,AI Intern,Civil,Python;Machine Learning;Pandas,AI,6.5,Onsite,Pune
262,Data Analyst Intern,Electrical,Python;SQL;Excel,Analytics,7.0,Remote,Mumbai
263,Python Developer Intern,AI & DS,Python;OOP,Software,7.5,Hybrid,Bengaluru
264,Web Developer Intern,ECE,HTML;CSS;JavaScript,Web,8.0,Onsite,Hyderabad
265,Java Developer Intern,Computer,Java;OOP,Software,8.5,Remote,Chennai
266,Cyber Security Intern,IT,Linux;Networking,Security,9.0,Hybrid,Delhi
267,Cloud Intern,Electronics,AWS;Linux,Cloud,6.0,Onsite,Noida
268,Android Developer Intern,Mechanical,Java;Kotlin,Mobile,6.5,Remote,Ahmedabad
269,UI/UX Intern,Civil,Figma;Canva,Design,7.0,Hybrid,Kolkata
270,Business Analyst Intern,Electrical,Excel;SQL;Power BI,Analytics,7.5,Onsite,Nagpur
271,AI Intern,AI & DS,Python;Machine Learning;Pandas,AI,8.0,Remote,Pune
272,Data Analyst Intern,ECE,Python;SQL;Excel,Analytics,8.5,Hybrid,Mumbai
273,Python Developer Intern,Computer,Python;OOP,Software,9.0,Onsite,Bengaluru
274,Web Developer Intern,IT,HTML;CSS;JavaScript,Web,6.0,Remote,Hyderabad
275,Java Developer Intern,Electronics,Java;OOP,Software,6.5,Hybrid,Chennai
276,Cyber Security Intern,Mechanical,Linux;Networking,Security,7.0,Onsite,Delhi
277,Cloud Intern,Civil,AWS;Linux,Cloud,7.5,Remote,Noida
278,Android Developer Intern,Electrical,Java;Kotlin,Mobile,8.0,Hybrid,Ahmedabad
279,UI/UX Intern,AI & DS,Figma;Canva,Design,8.5,Onsite,Kolkata
280,Business Analyst Intern,ECE,Excel;SQL;Power BI,Analytics,9.0,Remote,Nagpur
281,AI Intern,Computer,Python;Machine Learning;Pandas,AI,6.0,Hybrid,Pune
282,Data Analyst Intern,IT,Python;SQL;Excel,Analytics,6.5,Onsite,Mumbai
283,Python Developer Intern,Electronics,Python;OOP,Software,7.0,Remote,Bengaluru
284,Web Developer Intern,Mechanical,HTML;CSS;JavaScript,Web,7.5,Hybrid,Hyderabad
285,Java Developer Intern,Civil,Java;OOP,Software,8.0,Onsite,Chennai
286,Cyber Security Intern,Electrical,Linux;Networking,Security,8.5,Remote,Delhi
287,Cloud Intern,AI & DS,AWS;Linux,Cloud,9.0,Hybrid,Noida
288,Android Developer Intern,ECE,Java;Kotlin,Mobile,6.0,Onsite,Ahmedabad
289,UI/UX Intern,Computer,Figma;Canva,Design,6.5,Remote,Kolkata
290,Business Analyst Intern,IT,Excel;SQL;Power BI,Analytics,7.0,Hybrid,Nagpur
291,AI Intern,Electronics,Python;Machine Learning;Pandas,AI,7.5,Onsite,Pune
292,Data Analyst Intern,Mechanical,Python;SQL;Excel,Analytics,8.0,Remote,Mumbai
293,Python Developer Intern,Civil,Python;OOP,Software,8.5,Hybrid,Bengaluru
294,Web Developer Intern,Electrical,HTML;CSS;JavaScript,Web,9.0,Onsite,Hyderabad
295,Java Developer Intern,AI & DS,Java;OOP,Software,6.0,Remote,Chennai
296,Cyber Security Intern,ECE,Linux;Networking,Security,6.5,Hybrid,Delhi
297,Cloud Intern,Computer,AWS;Linux,Cloud,7.0,Onsite,Noida
298,Android Developer Intern,IT,Java;Kotlin,Mobile,7.5,Remote,Ahmedabad
299,UI/UX Intern,Electronics,Figma;Canva,Design,8.0,Hybrid,Kolkata
300,Business Analyst Intern,Mechanical,Excel;SQL;Power BI,Analytics,8.5,Onsite,Nagpur
301,AI Intern,Civil,Python;Machine Learning;Pandas,AI,9.0,Remote,Pune
302,Data Analyst Intern,Electrical,Python;SQL;Excel,Analytics,6.0,Hybrid,Mumbai
303,Python Developer Intern,AI & DS,Python;OOP,Software,6.5,Onsite,Bengaluru
304,Web Developer Intern,ECE,HTML;CSS;JavaScript,Web,7.0,Remote,Hyderabad
305,Java Developer Intern,Computer,Java;OOP,Software,7.5,Hybrid,Chennai
306,Cyber Security Intern,IT,Linux;Networking,Security,8.0,Onsite,Delhi
307,Cloud Intern,Electronics,AWS;Linux,Cloud,8.5,Remote,Noida
308,Android Developer Intern,Mechanical,Java;Kotlin,Mobile,9.0,Hybrid,Ahmedabad
309,UI/UX Intern,Civil,Figma;Canva,Design,6.0,Onsite,Kolkata
310,Business Analyst Intern,Electrical,Excel;SQL;Power BI,Analytics,6.5,Remote,Nagpur
311,AI Intern,AI & DS,Python;Machine Learning;Pandas,AI,7.0,Hybrid,Pune
312,Data Analyst Intern,ECE,Python;SQL;Excel,Analytics,7.5,Onsite,Mumbai
313,Python Developer Intern,Computer,Python;OOP,Software,8.0,Remote,Bengaluru
314,Web Developer Intern,IT,HTML;CSS;JavaScript,Web,8.5,Hybrid,Hyderabad
315,Java Developer Intern,Electronics,Java;OOP,Software,9.0,Onsite,Chennai
316,Cyber Security Intern,Mechanical,Linux;Networking,Security,6.0,Remote,Delhi
317,Cloud Intern,Civil,AWS;Linux,Cloud,6.5,Hybrid,Noida
318,Android Developer Intern,Electrical,Java;Kotlin,Mobile,7.0,Onsite,Ahmedabad
319,UI/UX Intern,AI & DS,Figma;Canva,Design,7.5,Remote,Kolkata
320,Business Analyst Intern,ECE,Excel;SQL;Power BI,Analytics,8.0,Hybrid,Nagpur
321,AI Intern,Computer,Python;Machine Learning;Pandas,AI,8.5,Onsite,Pune
322,Data Analyst Intern,IT,Python;SQL;Excel,Analytics,9.0,Remote,Mumbai
323,Python Developer Intern,Electronics,Python;OOP,Software,6.0,Hybrid,Bengaluru
324,Web Developer Intern,Mechanical,HTML;CSS;JavaScript,Web,6.5,Onsite,Hyderabad
325,Java Developer Intern,Civil,Java;OOP,Software,7.0,Remote,Chennai
326,Cyber Security Intern,Electrical,Linux;Networking,Security,7.5,Hybrid,Delhi
327,Cloud Intern,AI & DS,AWS;Linux,Cloud,8.0,Onsite,Noida
328,Android Developer Intern,ECE,Java;Kotlin,Mobile,8.5,Remote,Ahmedabad
329,UI/UX Intern,Computer,Figma;Canva,Design,9.0,Hybrid,Kolkata
330,Business Analyst Intern,IT,Excel;SQL;Power BI,Analytics,6.0,Onsite,Nagpur
331,AI Intern,Electronics,Python;Machine Learning;Pandas,AI,6.5,Remote,Pune
332,Data Analyst Intern,Mechanical,Python;SQL;Excel,Analytics,7.0,Hybrid,Mumbai
333,Python Developer Intern,Civil,Python;OOP,Software,7.5,Onsite,Bengaluru
334,Web Developer Intern,Electrical,HTML;CSS;JavaScript,Web,8.0,Remote,Hyderabad
335,Java Developer Intern,AI & DS,Java;OOP,Software,8.5,Hybrid,Chennai
336,Cyber Security Intern,ECE,Linux;Networking,Security,9.0,Onsite,Delhi
337,Cloud Intern,Computer,AWS;Linux,Cloud,6.0,Remote,Noida
338,Android Developer Intern,IT,Java;Kotlin,Mobile,6.5,Hybrid,Ahmedabad
339,UI/UX Intern,Electronics,Figma;Canva,Design,7.0,Onsite,Kolkata
340,Business Analyst Intern,Mechanical,Excel;SQL;Power BI,Analytics,7.5,Remote,Nagpur
341,AI Intern,Civil,Python;Machine Learning;Pandas,AI,8.0,Hybrid,Pune
342,Data Analyst Intern,Electrical,Python;SQL;Excel,Analytics,8.5,Onsite,Mumbai
343,Python Developer Intern,AI & DS,Python;OOP,Software,9.0,Remote,Bengaluru
344,Web Developer Intern,ECE,HTML;CSS;JavaScript,Web,6.0,Hybrid,Hyderabad
345,Java Developer Intern,Computer,Java;OOP,Software,6.5,Onsite,Chennai
346,Cyber Security Intern,IT,Linux;Networking,Security,7.0,Remote,Delhi
347,Cloud Intern,Electronics,AWS;Linux,Cloud,7.5,Hybrid,Noida
348,Android Developer Intern,Mechanical,Java;Kotlin,Mobile,8.0,Onsite,Ahmedabad
349,UI/UX Intern,Civil,Figma;Canva,Design,8.5,Remote,Kolkata
350,Business Analyst Intern,Electrical,Excel;SQL;Power BI,Analytics,9.0,Hybrid,Nagpur
351,AI Intern,AI & DS,Python;Machine Learning;Pandas,AI,6.0,Onsite,Pune
352,Data Analyst Intern,ECE,Python;SQL;Excel,Analytics,6.5,Remote,Mumbai
353,Python Developer Intern,Computer,Python;OOP,Software,7.0,Hybrid,Bengaluru
354,Web Developer Intern,IT,HTML;CSS;JavaScript,Web,7.5,Onsite,Hyderabad
355,Java Developer Intern,Electronics,Java;OOP,Software,8.0,Remote,Chennai
356,Cyber Security Intern,Mechanical,Linux;Networking,Security,8.5,Hybrid,Delhi
357,Cloud Intern,Civil,AWS;Linux,Cloud,9.0,Onsite,Noida
358,Android Developer Intern,Electrical,Java;Kotlin,Mobile,6.0,Remote,Ahmedabad
359,UI/UX Intern,AI & DS,Figma;Canva,Design,6.5,Hybrid,Kolkata
360,Business Analyst Intern,ECE,Excel;SQL;Power BI,Analytics,7.0,Onsite,Nagpur
361,AI Intern,Computer,Python;Machine Learning;Pandas,AI,7.5,Remote,Pune
362,Data Analyst Intern,IT,Python;SQL;Excel,Analytics,8.0,Hybrid,Mumbai
363,Python Developer Intern,Electronics,Python;OOP,Software,8.5,Onsite,Bengaluru
364,Web Developer Intern,Mechanical,HTML;CSS;JavaScript,Web,9.0,Remote,Hyderabad
365,Java Developer Intern,Civil,Java;OOP,Software,6.0,Hybrid,Chennai
366,Cyber Security Intern,Electrical,Linux;Networking,Security,6.5,Onsite,Delhi
367,Cloud Intern,AI & DS,AWS;Linux,Cloud,7.0,Remote,Noida
368,Android Developer Intern,ECE,Java;Kotlin,Mobile,7.5,Hybrid,Ahmedabad
369,UI/UX Intern,Computer,Figma;Canva,Design,8.0,Onsite,Kolkata
370,Business Analyst Intern,IT,Excel;SQL;Power BI,Analytics,8.5,Remote,Nagpur
371,AI Intern,Electronics,Python;Machine Learning;Pandas,AI,9.0,Hybrid,Pune
372,Data Analyst Intern,Mechanical,Python;SQL;Excel,Analytics,6.0,Onsite,Mumbai
373,Python Developer Intern,Civil,Python;OOP,Software,6.5,Remote,Bengaluru
374,Web Developer Intern,Electrical,HTML;CSS;JavaScript,Web,7.0,Hybrid,Hyderabad
375,Java Developer Intern,AI & DS,Java;OOP,Software,7.5,Onsite,Chennai
376,Cyber Security Intern,ECE,Linux;Networking,Security,8.0,Remote,Delhi
377,Cloud Intern,Computer,AWS;Linux,Cloud,8.5,Hybrid,Noida
378,Android Developer Intern,IT,Java;Kotlin,Mobile,9.0,Onsite,Ahmedabad
379,UI/UX Intern,Electronics,Figma;Canva,Design,6.0,Remote,Kolkata
380,Business Analyst Intern,Mechanical,Excel;SQL;Power BI,Analytics,6.5,Hybrid,Nagpur
381,AI Intern,Civil,Python;Machine Learning;Pandas,AI,7.0,Onsite,Pune
382,Data Analyst Intern,Electrical,Python;SQL;Excel,Analytics,7.5,Remote,Mumbai
383,Python Developer Intern,AI & DS,Python;OOP,Software,8.0,Hybrid,Bengaluru
384,Web Developer Intern,ECE,HTML;CSS;JavaScript,Web,8.5,Onsite,Hyderabad
385,Java Developer Intern,Computer,Java;OOP,Software,9.0,Remote,Chennai
386,Cyber Security Intern,IT,Linux;Networking,Security,6.0,Hybrid,Delhi
387,Cloud Intern,Electronics,AWS;Linux,Cloud,6.5,Onsite,Noida
388,Android Developer Intern,Mechanical,Java;Kotlin,Mobile,7.0,Remote,Ahmedabad
389,UI/UX Intern,Civil,Figma;Canva,Design,7.5,Hybrid,Kolkata
390,Business Analyst Intern,Electrical,Excel;SQL;Power BI,Analytics,8.0,Onsite,Nagpur
391,AI Intern,AI & DS,Python;Machine Learning;Pandas,AI,8.5,Remote,Pune
392,Data Analyst Intern,ECE,Python;SQL;Excel,Analytics,9.0,Hybrid,Mumbai
393,Python Developer Intern,Computer,Python;OOP,Software,6.0,Onsite,Bengaluru
394,Web Developer Intern,IT,HTML;CSS;JavaScript,Web,6.5,Remote,Hyderabad
395,Java Developer Intern,Electronics,Java;OOP,Software,7.0,Hybrid,Chennai
396,Cyber Security Intern,Mechanical,Linux;Networking,Security,7.5,Onsite,Delhi
397,Cloud Intern,Civil,AWS;Linux,Cloud,8.0,Remote,Noida
398,Android Developer Intern,Electrical,Java;Kotlin,Mobile,8.5,Hybrid,Ahmedabad
399,UI/UX Intern,AI & DS,Figma;Canva,Design,9.0,Onsite,Kolkata
400,Business Analyst Intern,ECE,Excel;SQL;Power BI,Analytics,6.0,Remote,Nagpur
401,AI Intern,Computer,Python;Machine Learning;Pandas,AI,6.5,Hybrid,Pune
402,Data Analyst Intern,IT,Python;SQL;Excel,Analytics,7.0,Onsite,Mumbai
403,Python Developer Intern,Electronics,Python;OOP,Software,7.5,Remote,Bengaluru
404,Web Developer Intern,Mechanical,HTML;CSS;JavaScript,Web,8.0,Hybrid,Hyderabad
405,Java Developer Intern,Civil,Java;OOP,Software,8.5,Onsite,Chennai
406,Cyber Security Intern,Electrical,Linux;Networking,Security,9.0,Remote,Delhi
407,Cloud Intern,AI & DS,AWS;Linux,Cloud,6.0,Hybrid,Noida
408,Android Developer Intern,ECE,Java;Kotlin,Mobile,6.5,Onsite,Ahmedabad
409,UI/UX Intern,Computer,Figma;Canva,Design,7.0,Remote,Kolkata
410,Business Analyst Intern,IT,Excel;SQL;Power BI,Analytics,7.5,Hybrid,Nagpur
411,AI Intern,Electronics,Python;Machine Learning;Pandas,AI,8.0,Onsite,Pune
412,Data Analyst Intern,Mechanical,Python;SQL;Excel,Analytics,8.5,Remote,Mumbai
413,Python Developer Intern,Civil,Python;OOP,Software,9.0,Hybrid,Bengaluru
414,Web Developer Intern,Electrical,HTML;CSS;JavaScript,Web,6.0,Onsite,Hyderabad
415,Java Developer Intern,AI & DS,Java;OOP,Software,6.5,Remote,Chennai
416,Cyber Security Intern,ECE,Linux;Networking,Security,7.0,Hybrid,Delhi
417,Cloud Intern,Computer,AWS;Linux,Cloud,7.5,Onsite,Noida
418,Android Developer Intern,IT,Java;Kotlin,Mobile,8.0,Remote,Ahmedabad
419,UI/UX Intern,Electronics,Figma;Canva,Design,8.5,Hybrid,Kolkata
420,Business Analyst Intern,Mechanical,Excel;SQL;Power BI,Analytics,9.0,Onsite,Nagpur
421,AI Intern,Civil,Python;Machine Learning;Pandas,AI,6.0,Remote,Pune
422,Data Analyst Intern,Electrical,Python;SQL;Excel,Analytics,6.5,Hybrid,Mumbai
423,Python Developer Intern,AI & DS,Python;OOP,Software,7.0,Onsite,Bengaluru
424,Web Developer Intern,ECE,HTML;CSS;JavaScript,Web,7.5,Remote,Hyderabad
425,Java Developer Intern,Computer,Java;OOP,Software,8.0,Hybrid,Chennai
426,Cyber Security Intern,IT,Linux;Networking,Security,8.5,Onsite,Delhi
427,Cloud Intern,Electronics,AWS;Linux,Cloud,9.0,Remote,Noida
428,Android Developer Intern,Mechanical,Java;Kotlin,Mobile,6.0,Hybrid,Ahmedabad
429,UI/UX Intern,Civil,Figma;Canva,Design,6.5,Onsite,Kolkata
430,Business Analyst Intern,Electrical,Excel;SQL;Power BI,Analytics,7.0,Remote,Nagpur
431,AI Intern,AI & DS,Python;Machine Learning;Pandas,AI,7.5,Hybrid,Pune
432,Data Analyst Intern,ECE,Python;SQL;Excel,Analytics,8.0,Onsite,Mumbai
433,Python Developer Intern,Computer,Python;OOP,Software,8.5,Remote,Bengaluru
434,Web Developer Intern,IT,HTML;CSS;JavaScript,Web,9.0,Hybrid,Hyderabad
435,Java Developer Intern,Electronics,Java;OOP,Software,6.0,Onsite,Chennai
436,Cyber Security Intern,Mechanical,Linux;Networking,Security,6.5,Remote,Delhi
437,Cloud Intern,Civil,AWS;Linux,Cloud,7.0,Hybrid,Noida
438,Android Developer Intern,Electrical,Java;Kotlin,Mobile,7.5,Onsite,Ahmedabad
439,UI/UX Intern,AI & DS,Figma;Canva,Design,8.0,Remote,Kolkata
440,Business Analyst Intern,ECE,Excel;SQL;Power BI,Analytics,8.5,Hybrid,Nagpur
441,AI Intern,Computer,Python;Machine Learning;Pandas,AI,9.0,Onsite,Pune
442,Data Analyst Intern,IT,Python;SQL;Excel,Analytics,6.0,Remote,Mumbai
443,Python Developer Intern,Electronics,Python;OOP,Software,6.5,Hybrid,Bengaluru
444,Web Developer Intern,Mechanical,HTML;CSS;JavaScript,Web,7.0,Onsite,Hyderabad
445,Java Developer Intern,Civil,Java;OOP,Software,7.5,Remote,Chennai
446,Cyber Security Intern,Electrical,Linux;Networking,Security,8.0,Hybrid,Delhi
447,Cloud Intern,AI & DS,AWS;Linux,Cloud,8.5,Onsite,Noida
448,Android Developer Intern,ECE,Java;Kotlin,Mobile,9.0,Remote,Ahmedabad
449,UI/UX Intern,Computer,Figma;Canva,Design,6.0,Hybrid,Kolkata
450,Business Analyst Intern,IT,Excel;SQL;Power BI,Analytics,6.5,Onsite,Nagpur
451,AI Intern,Electronics,Python;Machine Learning;Pandas,AI,7.0,Remote,Pune
452,Data Analyst Intern,Mechanical,Python;SQL;Excel,Analytics,7.5,Hybrid,Mumbai
453,Python Developer Intern,Civil,Python;OOP,Software,8.0,Onsite,Bengaluru
454,Web Developer Intern,Electrical,HTML;CSS;JavaScript,Web,8.5,Remote,Hyderabad
455,Java Developer Intern,AI & DS,Java;OOP,Software,9.0,Hybrid,Chennai
456,Cyber Security Intern,ECE,Linux;Networking,Security,6.0,Onsite,Delhi
457,Cloud Intern,Computer,AWS;Linux,Cloud,6.5,Remote,Noida
458,Android Developer Intern,IT,Java;Kotlin,Mobile,7.0,Hybrid,Ahmedabad
459,UI/UX Intern,Electronics,Figma;Canva,Design,7.5,Onsite,Kolkata
460,Business Analyst Intern,Mechanical,Excel;SQL;Power BI,Analytics,8.0,Remote,Nagpur
461,AI Intern,Civil,Python;Machine Learning;Pandas,AI,8.5,Hybrid,Pune
462,Data Analyst Intern,Electrical,Python;SQL;Excel,Analytics,9.0,Onsite,Mumbai
463,Python Developer Intern,AI & DS,Python;OOP,Software,6.0,Remote,Bengaluru
464,Web Developer Intern,ECE,HTML;CSS;JavaScript,Web,6.5,Hybrid,Hyderabad
465,Java Developer Intern,Computer,Java;OOP,Software,7.0,Onsite,Chennai
466,Cyber Security Intern,IT,Linux;Networking,Security,7.5,Remote,Delhi
467,Cloud Intern,Electronics,AWS;Linux,Cloud,8.0,Hybrid,Noida
468,Android Developer Intern,Mechanical,Java;Kotlin,Mobile,8.5,Onsite,Ahmedabad
469,UI/UX Intern,Civil,Figma;Canva,Design,9.0,Remote,Kolkata
470,Business Analyst Intern,Electrical,Excel;SQL;Power BI,Analytics,6.0,Hybrid,Nagpur
471,AI Intern,AI & DS,Python;Machine Learning;Pandas,AI,6.5,Onsite,Pune
472,Data Analyst Intern,ECE,Python;SQL;Excel,Analytics,7.0,Remote,Mumbai
473,Python Developer Intern,Computer,Python;OOP,Software,7.5,Hybrid,Bengaluru
474,Web Developer Intern,IT,HTML;CSS;JavaScript,Web,8.0,Onsite,Hyderabad
475,Java Developer Intern,Electronics,Java;OOP,Software,8.5,Remote,Chennai
476,Cyber Security Intern,Mechanical,Linux;Networking,Security,9.0,Hybrid,Delhi
477,Cloud Intern,Civil,AWS;Linux,Cloud,6.0,Onsite,Noida
478,Android Developer Intern,Electrical,Java;Kotlin,Mobile,6.5,Remote,Ahmedabad
479,UI/UX Intern,AI & DS,Figma;Canva,Design,7.0,Hybrid,Kolkata
480,Business Analyst Intern,ECE,Excel;SQL;Power BI,Analytics,7.5,Onsite,Nagpur
481,AI Intern,Computer,Python;Machine Learning;Pandas,AI,8.0,Remote,Pune
482,Data Analyst Intern,IT,Python;SQL;Excel,Analytics,8.5,Hybrid,Mumbai
483,Python Developer Intern,Electronics,Python;OOP,Software,9.0,Onsite,Bengaluru
484,Web Developer Intern,Mechanical,HTML;CSS;JavaScript,Web,6.0,Remote,Hyderabad
485,Java Developer Intern,Civil,Java;OOP,Software,6.5,Hybrid,Chennai
486,Cyber Security Intern,Electrical,Linux;Networking,Security,7.0,Onsite,Delhi
487,Cloud Intern,AI & DS,AWS;Linux,Cloud,7.5,Remote,Noida
488,Android Developer Intern,ECE,Java;Kotlin,Mobile,8.0,Hybrid,Ahmedabad
489,UI/UX Intern,Computer,Figma;Canva,Design,8.5,Onsite,Kolkata
490,Business Analyst Intern,IT,Excel;SQL;Power BI,Analytics,9.0,Remote,Nagpur
491,AI Intern,Electronics,Python;Machine Learning;Pandas,AI,6.0,Hybrid,Pune
492,Data Analyst Intern,Mechanical,Python;SQL;Excel,Analytics,6.5,Onsite,Mumbai
493,Python Developer Intern,Civil,Python;OOP,Software,7.0,Remote,Bengaluru
494,Web Developer Intern,Electrical,HTML;CSS;JavaScript,Web,7.5,Hybrid,Hyderabad
495,Java Developer Intern,AI & DS,Java;OOP,Software,8.0,Onsite,Chennai
496,Cyber Security Intern,ECE,Linux;Networking,Security,8.5,Remote,Delhi
497,Cloud Intern,Computer,AWS;Linux,Cloud,9.0,Hybrid,Noida
498,Android Developer Intern,IT,Java;Kotlin,Mobile,6.0,Onsite,Ahmedabad
499,UI/UX Intern,Electronics,Figma;Canva,Design,6.5,Remote,Kolkata
500,Business Analyst Intern,Mechanical,Excel;SQL;Power BI,Analytics,7.0,Hybrid,Nagpur
